id,title,genre_ids,overview,release_date,vote_average,vote_count,poster_path,original_language,cast,director
12877,Dead Man's Shoes,None,A soldier returns to his small town and exacts a deadly revenge on the thugs who tormented his disabled brother while he was away.,2004-09-29,7.12,555,/sCbXlGHmonE3QEOeM7I2PRkG8y6.jpg,en,"['Paddy Considine', 'Toby Kebbell', 'Gary Stretch']",Shane Meadows
413580,Dawson City: Frozen Time,None,"The true history of a collection of some 500 films dating from 1910s to 1920s, which were lost for over 50 years until being discovered buried in a sub-arctic swimming pool deep in the Yukon Territory, in Dawson City, located about 350 miles south of the Arctic Circle.",2017-06-09,6.754,61,/6acUjFJzv6J7IE2h75zVMCkJr4k.jpg,en,"['Kathy Jones-Gates', 'Michael Gates', 'Sam Kula']",Bill Morrison
415253,Darwin's Nightmare,None,"Africa in the sixties. The Nile perch, a ravenous predator, is introduced into Lake Victoria as a scientific experiment, causing the extinction of many native species. Its meat is exported everywhere in exchange for weapons, creating a globalized evil alliance on the lake shores. An infernal nightmare in the real world that wipes out Darwin's Theory of Evolution.",2005-01-21,6.863,51,/5mcqaRJ8zYIdErzdTrq8rJDBQeU.jpg,en,"[""Elizabeth 'Eliza' Maganga Nsese"", 'Raphael Tukiko Wagara', 'Dimond Remtulia']",Hubert Sauper
515389,Dark Night,None,"The first vampire himself Vlad Tepes arrives in the sleepy community of Willcox and quickly turns an innocent private nurse into his vampire queen. He then has her commit acts of murder on the communities less desirable and draining them of their blood, while also supplying him with a female representing all 8 blood types to become his brides. Damien Cruz investigates the murders and disappearances, which at first he believes Nicole or the mysterious priest Father Nero could be responsible for. But what will happen when Vlad realizes how close Damien is getting to discovering his evil deeds.",2019-11-01,0.0,0,/wx6unLutco86K25eQsgkbJrSmoQ.jpg,en,"['Buddy Campbell', 'Ryan Heumier', 'Kevin T. Oliver']",Matt Spease
16,Dancer in the Dark,None,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles – even if just for a moment – by dreaming up little numbers to the rhythmic beats of her surroundings.",2000-09-01,7.866,1878,/9rsivF4sWfmBzrNr4LPu6TNJhXX.jpg,en,"['Björk', 'Catherine Deneuve', 'David Morse']",Lars von Trier
377593,Crimson Gold,None,A low-budget silent comedy Western,1923-06-30,0.0,0,,en,"['J.B. Warner', 'Edythe Sterling', 'Martha McKay']",Clifford S. Elfelt
158743,Computer Chess,None,"At the American Computer Chess Convention, enthusiasts gather to pit their programs against other computer chess programs and human players in a tournament for a grand prize of $7500.",2013-07-17,6.065,108,/13lK8Ytp218J0mPullUzpvHjNrX.jpg,en,"['Patrick Riester', 'Myles Paige', 'James Curry']",Andrew Bujalski
1538,Collateral,None,Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.,2004-08-04,7.23,5855,/nV5316WUsVij8sVXLCF1g7TFitg.jpg,en,"['Tom Cruise', 'Jamie Foxx', 'Jada Pinkett Smith']",Michael Mann
137409,寒戰,None,"Five police officers in Hong Kong are kidnapped. The police commissioner is on a business trip overseas. Two vice commissioners, Sean Rau and M.B. Lee, then take over the case. The two vice commissioners are rivals who both vie for the police commissioner seat. At first, M.B. Lee takes the lead in the case, but comes to a dead end. Sean Lau then takes the lead, but he falls into a trap. Both men are then investigated by the ICAC (Independent Commission Against Corruption).",2012-11-08,6.623,175,/zFiHdFJHppW43xmsnS8whzYnVQ8.jpg,cn,"['Aaron Kwok', 'Tony Leung', 'Andy Lau']",Sunny Luk Kim-Ching
220289,Coherence,None,Four couples gather for dinner the night a mysterious and powerful comet passes overhead.,2013-09-19,7.221,3104,/ezUtb9m5DeLwL2gxi4gktzNCvQv.jpg,en,"['Emily Baldoni', 'Maury Sterling', 'Nicholas Brendon']",James Ward Byrkit
640,Catch Me If You Can,None,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",2002-12-16,7.978,16225,/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,en,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']",Steven Spielberg
8358,Cast Away,None,"Chuck Noland, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia crashes at sea during a terrible storm. He's the only survivor, and finds himself marooned on a desolate island. With no way to escape, Chuck must find ways to survive in his new home.",2000-12-22,7.7,11738,/7lLJgKnAicAcR5UEuo8xhSMj18w.jpg,en,"['Tom Hanks', 'Helen Hunt', 'Chris Noth']",Robert Zemeckis
1129199,Carlos,None,"This lively and intimately-crafted documentary immerses the audience in rock icon Carlos Santana's life and musical trajectory. Filmmaker Rudy Valdez bolsters this personal narrative with pulsating, never-before-seen footage — guided by Santana himself, in his own words.",2023-09-23,7.0,9,/70BSOJc0UQyblnNiPmvWEuoigS1.jpg,en,"['Carlos Santana', 'Gregg Rolie', 'Michael Carabello']",Rudy Valdez
