id,title,genre_ids,overview,release_date,vote_average,vote_count,poster_path,original_language,cast,director
724089,Gabriel's Inferno: Part II,,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",2020-07-31,8.379,1527,/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg,en,"['Melanie Zanetti', 'Giulio Berruti', 'James Andrew Fraser']",Tosca Musk
423,The Pianist,,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",2002-09-17,8.379,9585,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,en,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']",Roman Polanski
244786,Whiplash,,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",2014-10-10,8.377,15764,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,en,"['Miles Teller', 'J.K. Simmons', 'Paul Reiser']",Damien Chazelle
770156,Lucy Shimmers and the Prince of Peace,,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,2020-10-19,8.373,316,/yfnJ5qIYx7q33fY4jqv9Pu95RSg.jpg,en,"['Scarlett Diamond', 'Adam Hightower', 'Vincent Vargas']",Rob Diamond
807,Se7en,,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995-09-22,8.376,21868,/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,en,"['Morgan Freeman', 'Brad Pitt', 'Gwyneth Paltrow']",David Fincher
761053,Gabriel's Inferno: Part III,,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,2020-11-19,8.374,1063,/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg,en,"['Melanie Zanetti', 'Giulio Berruti', 'Rhett Wellington Ramirez']",Tosca Musk
27205,Inception,,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010-07-15,8.369,37678,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,en,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ken Watanabe']",Christopher Nolan
1058694,Radical,,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",2023-10-19,8.373,462,/eGMkkbG85JUyXQEsbZKSnBrymts.jpg,es,"['Eugenio Derbez', 'Daniel Haddad', 'Jennifer Trejo']",Christopher Zalla
567,Rear Window,,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,1954-08-01,8.353,6759,/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,en,"['James Stewart', 'Grace Kelly', 'Wendell Corey']",Alfred Hitchcock
569094,Spider-Man: Across the Spider-Verse,,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2023-05-31,8.347,7703,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,en,"['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry']",Justin K. Thompson
274,The Silence of the Lambs,,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",1991-02-14,8.347,16937,/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,en,"['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn']",Jonathan Demme
12493,天国と地獄,,"In the midst of an attempt to take over his company, a powerhouse executive is hit with a huge ransom demand when his chauffeur's son is kidnapped by mistake.",1963-03-01,8.3,997,/tgNjemQPG96uIezpiUiXFcer5ga.jpg,ja,"['Toshirō Mifune', 'Tatsuya Nakadai', 'Kyōko Kagawa']",Akira Kurosawa
620249,罗小黑战记,,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",2019-08-27,8.3,392,/4jfbKKLpqts3i2h2obkrONcjTg1.jpg,zh,"['Shan Xin', 'Liu Mingyue', 'Hao Xianghai']",MTJJ
73,American History X,,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",1998-07-01,8.337,11939,/x2drgoXYZ8484lqyDj7L1CEVR4T.jpg,en,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]",Tony Kaye
820067,映画 五等分の花嫁,,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",2022-05-20,8.335,414,/sg7klpt1xwK1IJirBI9EHaqQwJ5.jpg,ja,"['Yoshitsugu Matsuoka', 'Kana Hanazawa', 'Ayana Taketatsu']",Masato Jimbo
